gender	Age	Attitude	deep	surface	strategic	Points
F	22	28	4.08333333333333	4.08333333333333	4.08333333333333	28
F	23	33	2.91666666666667	2.91666666666667	2.91666666666667	25
M	21	48	3.5	3.5	3.5	29
M	21	40	4.33333333333333	4.33333333333333	4.33333333333333	33
F	21	40	4.25	4.25	4.25	33
F	21	47	3.41666666666667	3.41666666666667	3.41666666666667	25
F	26	23	3.08333333333333	3.08333333333333	3.08333333333333	18
F	25	31	4.58333333333333	4.58333333333333	4.58333333333333	22
F	26	27	3.41666666666667	3.41666666666667	3.41666666666667	17
M	21	41	3.41666666666667	3.41666666666667	3.41666666666667	25
F	23	34	3.41666666666667	3.41666666666667	3.41666666666667	28
F	22	25	3.58333333333333	3.58333333333333	3.58333333333333	22
F	22	21	1.58333333333333	1.58333333333333	1.58333333333333	26
F	22	14	3.33333333333333	3.33333333333333	3.33333333333333	11
F	23	19	4.33333333333333	4.33333333333333	4.33333333333333	29
M	22	37	4.41666666666667	4.41666666666667	4.41666666666667	22
M	23	32	4.83333333333333	4.83333333333333	4.83333333333333	21
M	24	28	3.08333333333333	3.08333333333333	3.08333333333333	28
F	22	41	3	3	3	33
F	23	25	4.08333333333333	4.08333333333333	4.08333333333333	16
M	22	28	4.08333333333333	4.08333333333333	4.08333333333333	31
M	20	38	3.75	3.75	3.75	22
M	22	31	3.08333333333333	3.08333333333333	3.08333333333333	31
M	21	35	4.75	4.75	4.75	23
F	22	36	4.25	4.25	4.25	26
F	23	26	4.16666666666667	4.16666666666667	4.16666666666667	12
M	21	44	4.41666666666667	4.41666666666667	4.41666666666667	26
M	22	45	3.83333333333333	3.83333333333333	3.83333333333333	31
M	29	32	3.33333333333333	3.33333333333333	3.33333333333333	19
F	29	39	3.16666666666667	3.16666666666667	3.16666666666667	30
F	21	25	3.16666666666667	3.16666666666667	3.16666666666667	12
M	28	33	3.83333333333333	3.83333333333333	3.83333333333333	17
F	21	33	4.25	4.25	4.25	18
F	30	30	3.83333333333333	3.83333333333333	3.83333333333333	19
F	21	29	3.66666666666667	3.66666666666667	3.66666666666667	21
M	23	33	3.83333333333333	3.83333333333333	3.83333333333333	24
F	21	33	3.83333333333333	3.83333333333333	3.83333333333333	28
F	21	35	3.83333333333333	3.83333333333333	3.83333333333333	17
F	20	36	3.66666666666667	3.66666666666667	3.66666666666667	18
M	22	37	4.33333333333333	4.33333333333333	4.33333333333333	17
M	21	42	3.75	3.75	3.75	23
M	21	32	4.16666666666667	4.16666666666667	4.16666666666667	26
F	20	50	4	4	4	28
M	22	47	4	4	4	31
F	20	36	4.58333333333333	4.58333333333333	4.58333333333333	27
F	20	36	3.66666666666667	3.66666666666667	3.66666666666667	25
M	24	29	3.66666666666667	3.66666666666667	3.66666666666667	23
F	20	35	3.83333333333333	3.83333333333333	3.83333333333333	21
F	19	40	2.58333333333333	2.58333333333333	2.58333333333333	27
F	21	35	3.5	3.5	3.5	28
F	21	32	3.08333333333333	3.08333333333333	3.08333333333333	23
F	22	26	4.25	4.25	4.25	21
F	25	20	3.16666666666667	3.16666666666667	3.16666666666667	25
F	21	27	3.08333333333333	3.08333333333333	3.08333333333333	11
F	22	32	4.16666666666667	4.16666666666667	4.16666666666667	19
F	25	33	2.25	2.25	2.25	24
F	20	39	3.33333333333333	3.33333333333333	3.33333333333333	28
M	24	33	3.08333333333333	3.08333333333333	3.08333333333333	21
F	20	30	2.75	2.75	2.75	24
M	21	37	3.25	3.25	3.25	24
F	20	25	4	4	4	20
F	20	29	3.58333333333333	3.58333333333333	3.58333333333333	19
M	31	39	4.08333333333333	4.08333333333333	4.08333333333333	30
F	20	36	4.25	4.25	4.25	22
F	22	29	3.41666666666667	3.41666666666667	3.41666666666667	16
F	22	21	3.08333333333333	3.08333333333333	3.08333333333333	16
M	21	31	3.5	3.5	3.5	19
M	22	40	3.66666666666667	3.66666666666667	3.66666666666667	30
F	21	31	4.25	4.25	4.25	23
F	21	23	4.25	4.25	4.25	19
F	21	28	3.83333333333333	3.83333333333333	3.83333333333333	18
F	21	37	4.41666666666667	4.41666666666667	4.41666666666667	28
F	20	26	3.5	3.5	3.5	21
F	21	24	3.58333333333333	3.58333333333333	3.58333333333333	19
F	25	30	3.66666666666667	3.66666666666667	3.66666666666667	27
M	21	28	2.08333333333333	2.08333333333333	2.08333333333333	24
F	24	29	4.25	4.25	4.25	21
F	20	24	3.58333333333333	3.58333333333333	3.58333333333333	20
M	21	31	4	4	4	28
F	20	19	3.33333333333333	3.33333333333333	3.33333333333333	12
F	20	20	3.5	3.5	3.5	21
F	18	38	3.16666666666667	3.16666666666667	3.16666666666667	28
F	21	34	3.58333333333333	3.58333333333333	3.58333333333333	31
F	19	37	3.41666666666667	3.41666666666667	3.41666666666667	18
F	21	29	4.25	4.25	4.25	25
F	20	23	3.25	3.25	3.25	19
M	21	41	4.41666666666667	4.41666666666667	4.41666666666667	21
F	20	27	3.25	3.25	3.25	16
F	21	35	3.91666666666667	3.91666666666667	3.91666666666667	7
F	20	34	3.58333333333333	3.58333333333333	3.58333333333333	21
F	18	32	4.5	4.5	4.5	17
M	22	33	3.58333333333333	3.58333333333333	3.58333333333333	22
F	22	33	3.66666666666667	3.66666666666667	3.66666666666667	18
M	24	35	2.58333333333333	2.58333333333333	2.58333333333333	25
F	19	32	4.16666666666667	4.16666666666667	4.16666666666667	24
F	20	31	3.25	3.25	3.25	23
F	20	28	4.33333333333333	4.33333333333333	4.33333333333333	23
F	17	17	3.91666666666667	3.91666666666667	3.91666666666667	26
M	19	19	2.66666666666667	2.66666666666667	2.66666666666667	12
F	20	35	3.08333333333333	3.08333333333333	3.08333333333333	32
F	20	24	3.75	3.75	3.75	22
F	20	21	4.16666666666667	4.16666666666667	4.16666666666667	20
F	20	29	4.16666666666667	4.16666666666667	4.16666666666667	21
F	19	19	3.25	3.25	3.25	23
F	19	20	4.08333333333333	4.08333333333333	4.08333333333333	20
F	22	42	2.91666666666667	2.91666666666667	2.91666666666667	28
M	35	41	3.83333333333333	3.83333333333333	3.83333333333333	31
F	18	37	3.16666666666667	3.16666666666667	3.16666666666667	18
F	19	36	3.41666666666667	3.41666666666667	3.41666666666667	30
M	21	18	4.08333333333333	4.08333333333333	4.08333333333333	19
